Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Dioscuri,278,https://vignette.wikia.nocookie.net/fategrandorder/images/6/61/S278Icon.png/revision/latest?cb=20200409143607,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/21/Dioscuri_Stage_4_Icon.png/revision/latest?cb=20200409143647,Dioscuri,5,Saber,Sky,B,A,A,Q,Q,14824,11840,Permanent,pieceSaber,5,,,,,pieceSaber,12,Chain,22,,,,,monumentSaber,5,Lamp,6,Core,3,monumentSaber,12,Core,6,Vein,12,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Lamp,3,,,,,goldSaber,5,Lamp,6,,,goldSaber,12,Chain,15,,,,,Chain,29,Shard,3,Shard,8,Vein,24,Olympos Chapter Release,Valentine's 2021,Chaldea Boys Collection 2021
Edmond Dantés,96,https://vignette.wikia.nocookie.net/fategrandorder/images/3/37/Edmondicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d4/EdmondFinalIcon.png/revision/latest?cb=20180219124011,Dantés,5,Avenger,Man,B,B,A,Q,Q,12177,12641,Limited,Bone,10,Crystal,10,,,Jewel,10,Page,10,,,,,Dust,10,Gear,10,,,Feather,10,Heart,10,,,,,Proof,10,,,,,Seed,10,,,,,,,Fang,12,,,,,Lantern,12,,,,,,,Horseshoe,12,,,,,Baby,15,,,,,,,Claw,15,,,Scale,15,,,Servant Summer Festival Re-Run,,
Edward Teach,25,https://vignette.wikia.nocookie.net/fategrandorder/images/2/25/Edwardicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/72/EdwardTeachFinalIcon.png/revision/latest?cb=20180215130210,Teach,2,Rider,Man,B,B,A,A,Q,7907,6188,Permanent,pieceRider,3,,,,,pieceRider,6,Bone,11,,,,,monumentRider,3,Crystal,5,Page,3,monumentRider,6,Page,5,Lantern,6,,,blueRider,3,,,,,blueRider,6,,,,,,,redRider,3,,,,,redRider,3,Crystal,3,,,,,goldRider,3,Crystal,5,,,goldRider,6,Bone,8,,,,,Bone,15,Baby,3,Baby,9,Lantern,15,,,
Elizabeth Bathory,18,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b4/Elizaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7e/ElizabethBathoryFinalIcon.png/revision/latest?cb=20180214132036,Liz,4,Lancer,Man,B,B,A,Q,Q,11870,9122,Permanent,pieceLancer,4,,,,,pieceLancer,10,Fang,15,,,,,monumentLancer,4,Scale,4,Claw,3,monumentLancer,10,Claw,5,Feather,8,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Scale,2,,,,,goldLancer,4,Scale,4,,,goldLancer,10,Fang,10,,,,,Fang,20,Page,5,Page,15,Feather,16,,,
Elizabeth Bathory [Brave],138,https://vignette.wikia.nocookie.net/fategrandorder/images/4/41/Eliz_Brave_icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/32/ElizabethBathoryBraveFinalIcon.png/revision/latest?cb=20180212152436,Brave Liz,4,Saber,Earth,B,B,A,A,Q,11248,9899,Welfare,Orb,1,,,,,Orb,1,,,,,,,Orb,1,,,,,Orb,1,,,,,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Proof,12,,,,,goldSaber,4,Proof,24,,,goldSaber,10,Fang,10,,,,,Fang,20,Medal,10,Medal,30,Scale,8,,,
Elizabeth Bathory [Caster],61,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e3/Elizhallowicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/ElizabethBathoryHalloweenFinalIcon.png/revision/latest?cb=20180216122953,Halloween Liz,4,Caster,Man,B,A,A,A,Q,11404,8616,Welfare,Candy,1,,,,,Candy,1,,,,,,,Candy,1,,,,,Candy,1,,,,,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Lantern,4,,,,,goldCaster,4,Lantern,8,,,goldCaster,10,Bone,12,,,,,Bone,24,Fang,12,Fang,36,Scale,8,,,
EMIYA,11,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4a/Emiyaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e8/EMIYAFinalIcon.png/revision/latest?cb=20180211120742,EMIYA,4,Archer,Man,B,A,A,A,Q,11521,9398,Permanent,pieceArcher,4,,,,,pieceArcher,10,Proof,18,,,,,monumentArcher,4,Gear,8,Heart,2,monumentArcher,10,Heart,4,Dust,20,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Gear,4,,,,,goldArcher,4,Gear,8,,,goldArcher,10,Proof,12,,,,,Proof,24,Feather,4,Feather,12,Dust,40,Servant Summer Camp,,
EMIYA [Alter],157,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c6/EmiyaAlterIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/95/EmiyaAlterFinalIcon.png/revision/latest?cb=20180214113821,EMIYA Alter,4,Archer,Man,B,A,A,Q,Q,12250,8996,Story-locked,pieceArcher,4,,,,,pieceArcher,10,Chain,18,,,,,monumentArcher,4,Gear,8,Grease,3,monumentArcher,10,Grease,5,Fluid,30,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Gear,4,,,,,goldArcher,4,Gear,8,,,goldArcher,10,Chain,12,,,,,Chain,24,Gallstone,2,Gallstone,6,Seashell,20,,,
Emiya [Assassin],109,https://vignette.wikia.nocookie.net/fategrandorder/images/6/65/Emiyaassassinicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0d/EmiyaAssassinFinalIcon.png/revision/latest?cb=20180217094103,Kiritsugu,4,Assassin,Man,B,A,A,Q,Q,11168,8958,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Proof,18,,,,,monumentAssassin,4,Bone,24,Dust,8,monumentAssassin,10,Dust,16,Tearstone,6,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Bone,12,,,,,goldAssassin,4,Bone,24,,,goldAssassin,10,Proof,12,,,,,Proof,24,Baby,5,Baby,15,Heart,8,,,
Enkidu,143,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7e/Enkiduicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/aa/EnkiduFinalIcon.png/revision/latest?cb=20180214132242,Enkidu,5,Lancer,Sky,B,A,Q,Q,Q,15300,10780,Permanent,pieceLancer,5,,,,,pieceLancer,12,Chain,22,,,,,monumentLancer,5,Crystal,10,Root,2,monumentLancer,12,Root,4,Heart,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Crystal,5,,,,,goldLancer,5,Crystal,10,,,goldLancer,12,Chain,15,,,,,Chain,29,Baby,6,Baby,18,Lanugo,15,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Ereshkigal,196,https://vignette.wikia.nocookie.net/fategrandorder/images/9/93/Icon_Servant_196.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b3/EreshkigalFinalIcon.png/revision/latest?cb=20180214132138,Eresh,5,Lancer,Earth,B,B,A,Q,Q,16065,10343,Limited,pieceLancer,5,,,,,pieceLancer,12,Lantern,8,,,,,monumentLancer,5,Chain,29,Heart,2,monumentLancer,12,Heart,4,Wine,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Chain,15,,,,,goldLancer,5,Chain,29,,,goldLancer,12,Lantern,5,,,,,Lantern,10,Magatama,6,Magatama,18,Stake,72,19M Downloads Campaign,,
Eric Bloodaxe,57,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b1/Ericicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dc/EricBloodAxeFinalIcon.png/revision/latest?cb=20180218073556,Eric,2,Berserker,Man,B,B,B,A,Q,7688,6290,Permanent,pieceBerserker,3,,,,,pieceBerserker,6,Bone,11,,,,,monumentBerserker,3,Baby,5,Jewel,2,monumentBerserker,6,Jewel,4,Dust,12,,,blueBerserker,3,,,,,blueBerserker,6,,,,,,,redBerserker,3,,,,,redBerserker,6,Baby,3,,,,,goldBerserker,3,Baby,5,,,goldBerserker,6,Bone,3,,,,,Bone,5,Claw,2,Claw,6,Dust,24,,,
Europa,274,https://vignette.wikia.nocookie.net/fategrandorder/images/0/04/S274Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9a/EuropaFinalIcon.png,Europa,5,Rider,Sky,B,B,A,A,Q,13219,11737,Permanent,pieceRider,5,,,,,pieceRider,12,Seed,9,,,,,monumentRider,5,Root,4,Core,3,monumentRider,12,Core,6,Shard,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Root,2,,,,,goldRider,5,Root,4,,,goldRider,12,Seed,6,,,,,Seed,12,Crown,6,Crown,18,Shard,10,Atlantis Chapter Release,Valentine's 2020,Valentine's 2021
Euryale,15,https://vignette.wikia.nocookie.net/fategrandorder/images/7/77/Euryale.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/45/EuryaleFinalIcon.png/revision/latest?cb=20180213160025,Euryale,3,Archer,Sky,B,A,A,Q,Q,9506,7032,Permanent,pieceArcher,4,,,,,pieceArcher,8,Jewel,4,,,,,monumentArcher,4,Scale,3,Dust,7,monumentArcher,8,Dust,13,Heart,4,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Scale,2,,,,,goldArcher,4,Scale,3,,,goldArcher,8,Jewel,3,,,,,Jewel,6,Claw,3,Claw,8,Heart,7,,,
Fergus Mac Roich,72,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f7/Fergusicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/07/FergusFinalIcon.png/revision/latest?cb=20180212152606,Fergus,3,Saber,Earth,B,B,B,A,Q,9786,7460,Permanent,pieceSaber,4,,,,,pieceSaber,8,Proof,15,,,,,monumentSaber,4,Crystal,7,Heart,2,monumentSaber,8,Heart,3,Horseshoe,8,,,blueSaber,4,,,,,blueSaber,8,,,,,,,redSaber,4,,,,,redSaber,8,Crystal,4,,,,,goldSaber,4,Crystal,7,,,goldSaber,8,Proof,10,,,,,Proof,20,Seed,5,Seed,15,Horseshoe,16,,,
Fionn Mac Cumhaill,87,https://vignette.wikia.nocookie.net/fategrandorder/images/6/67/Fionnicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b1/FionnMacCumhaillFinalIcon.png/revision/latest?cb=20180214132059,Fionn,4,Lancer,Sky,B,A,A,Q,Q,12750,8930,Permanent,pieceLancer,4,,,,,pieceLancer,10,Feather,5,,,,,monumentLancer,4,Bone,24,Claw,3,monumentLancer,10,Claw,5,Dust,20,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Bone,12,,,,,goldLancer,4,Bone,24,,,goldLancer,10,Feather,4,,,,,Feather,7,Crystal,5,Crystal,15,Jewel,16,19M Downloads Campaign,,
Francis Drake,65,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/Drakeicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1a/DrakeFinalIcon.png/revision/latest?cb=20180215130351,Drake,5,Rider,Star,B,B,A,A,Q,12830,11326,Permanent,pieceRider,5,,,,,pieceRider,12,Bone,22,,,,,monumentRider,5,Fang,24,Scale,2,monumentRider,12,Scale,4,Heart,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Fang,12,,,,,goldRider,5,Fang,24,,,goldRider,12,Bone,15,,,,,Bone,29,Lantern,6,Lantern,18,Heart,10,Valentine's 2020,Valentine's 2021,
Frankenstein,82,https://vignette.wikia.nocookie.net/fategrandorder/images/9/98/Frankicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4d/FrankensteinFinalIcon.png/revision/latest?cb=20180218073646,Fran,4,Berserker,Earth,B,B,B,A,Q,10687,9441,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Baby,6,,,,,monumentBerserker,4,Bone,24,Lantern,4,monumentBerserker,10,Lantern,8,Gear,10,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Bone,12,,,,,goldBerserker,4,Bone,24,,,goldBerserker,10,Baby,4,,,,,Baby,8,Crystal,5,Crystal,15,Gear,20,,,
Frankenstein [Saber],176,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b1/FranSummer.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/61/FrankensteinSaberFinalIcon.png/revision/latest?cb=20180212152536,Summer Fran,4,Saber,Earth,B,B,A,Q,Q,11993,9353,Limited,pieceSaber,4,,,,,pieceSaber,10,Seashell,6,,,,,monumentSaber,4,Grease,5,Crystal,4,monumentSaber,10,Crystal,8,Gear,10,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Grease,3,,,,,goldSaber,4,Grease,5,,,goldSaber,10,Seashell,4,,,,,Seashell,8,Baby,5,Baby,15,Fluid,60,Imaginary Scramble Pre-Campaign,,
Fuuma Kotarou,117,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5a/Kotarouicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1d/FuumaKotarouFinalIcon.png/revision/latest?cb=20180217094048,Kotarou,3,Assassin,Man,B,A,Q,Q,Q,8844,7091,Permanent,pieceAssassin,4,,,,,pieceAssassin,8,Bone,15,,,,,monumentAssassin,4,Dust,13,Crystal,4,monumentAssassin,8,Crystal,7,Grease,5,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Dust,7,,,,,goldAssassin,4,Dust,13,,,goldAssassin,8,Bone,10,,,,,Bone,20,Seed,5,Seed,15,Claw,10,,,
Gaius Julius Caesar,7,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f3/Caesaricon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/de/GaiusJuliusCaesarFinalIcon.png/revision/latest?cb=20180212152558,Caesar,3,Saber,Man,B,B,A,Q,Q,9595,7497,Permanent,pieceSaber,4,,,,,pieceSaber,8,Proof,15,,,,,monumentSaber,4,Gear,7,Page,4,monumentSaber,8,Page,7,Claw,5,,,blueSaber,4,,,,,blueSaber,8,,,,,,,redSaber,4,,,,,redSaber,8,Gear,4,,,,,goldSaber,4,Gear,7,,,goldSaber,8,Proof,10,,,,,Proof,20,Horseshoe,4,Horseshoe,12,Claw,10,,,
Galatea,306,https://static.wikia.nocookie.net/fategrandorder/images/9/93/S306Icon.png,,https://static.wikia.nocookie.net/fategrandorder/images/8/8f/S306A4Icon.png/,Galatea,5,Berserker,Earth,B,B,B,A,Q,14040,11414,Permanent,pieceBerserker,5,,,,,pieceBerserker,12,Fluid,22,,,,,monumentBerserker,5,Steel,10,Ring,5,monumentBerserker,12,Ring,10,Fruit,8,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Steel,5,,,,,goldBerserker,5,Steel,10,,,goldBerserker,12,Fluid,15,,,,,Crown,6,Fluid,29,Fruit,15,Crown,18,Akihabara Explosion,,
Gareth,256,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dd/S256Icon.png/revision/latest?cb=20190804164238,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/76/GarethFinalIcon.png/revision/latest?cb=20190804164646,Gareth,2,Lancer,Earth,B,B,A,Q,Q,9537,5413,Permanent,pieceLancer,3,,,,,pieceLancer,6,Proof,11,,,,,monumentLancer,3,Horn,3,Medal,5,monumentLancer,6,Medal,10,Scale,3,,,blueLancer,3,,,,,blueLancer,6,,,,,,,redLancer,3,,,,,redLancer,6,Horn,2,,,,,goldLancer,3,Horn,3,,,goldLancer,6,Proof,8,,,,,Proof,15,Medal,6,Medal,18,Steel,12,,,
Gawain,123,https://vignette.wikia.nocookie.net/fategrandorder/images/3/33/Gawainicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/10/GawainFinalIcon.png/revision/latest?cb=20180212152456,Gawain,4,Saber,Earth,B,B,B,A,Q,11419,10173,Story-locked,pieceSaber,4,,,,,pieceSaber,10,Crystal,6,,,,,monumentSaber,4,Scale,4,Medal,8,monumentSaber,10,Medal,16,Proof,30,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Scale,2,,,,,goldSaber,4,Scale,4,,,goldSaber,10,Crystal,4,,,,,Crystal,8,Fang,12,Fang,36,Root,8,Holy Grail Front - Camelot,,
Georgios,24,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/Georgeicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dd/GeorgiosFinalIcon.png/revision/latest?cb=20180215130123,George,2,Rider,Man,B,A,A,Q,Q,9200,5236,Permanent,pieceRider,3,,,,,pieceRider,6,Proof,11,,,,,monumentRider,3,Feather,4,Page,3,monumentRider,6,Page,5,Horseshoe,6,,,blueRider,3,,,,,blueRider,6,,,,,,,redRider,3,,,,,redRider,6,Feather,2,,,,,goldRider,3,Feather,4,,,goldRider,6,Proof,8,,,,,Proof,15,Gear,3,Gear,9,Horseshoe,12,,,
Geronimo,104,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/Geronimoicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d5/GeronimoFinalIcon.png/revision/latest?cb=20180216122851,Geronimo,3,Caster,Man,B,B,A,A,Q,9123,6857,Permanent,pieceCaster,4,,,,,pieceCaster,8,Proof,15,,,,,monumentCaster,4,Seed,8,Lantern,4,monumentCaster,8,Lantern,7,Crystal,8,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Seed,4,,,,,goldCaster,4,Seed,8,,,goldCaster,8,Proof,10,,,,,Proof,30,Bone,12,Bone,36,Root,7,,,
Gilgamesh,12,https://vignette.wikia.nocookie.net/fategrandorder/images/1/18/Gilicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/86/GilgameshFinalIcon.png/revision/latest?cb=20180211152812,Gilgamesh,5,Archer,Sky,B,B,A,A,Q,13097,12280,Limited,pieceArcher,5,,,,,pieceArcher,12,Jewel,6,,,,,monumentArcher,5,Proof,29,Scale,2,monumentArcher,12,Scale,4,Heart,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Proof,15,,,,,goldArcher,5,Proof,29,,,goldArcher,12,Jewel,4,,,,,Jewel,8,Dust,12,Dust,36,Heart,10,Battle in New York 2019,New Year 2020,20M Downloads Campaign
Gilgamesh [Caster],145,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5a/Gilcastericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/26/GilgameshCasterFinalIcon.png/revision/latest?cb=20180216123055,Caster Gil,4,Caster,Man,B,A,A,A,Q,12005,8460,Permanent,pieceCaster,4,,,,,pieceCaster,10,Proof,18,,,,,monumentCaster,4,Page,8,Lanugo,3,monumentCaster,10,Lanugo,5,Scarab,4,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Page,4,,,,,goldCaster,4,Page,8,,,goldCaster,10,Proof,12,,,,,Proof,24,Lantern,5,Lantern,15,Stinger,48,Servant Summer Festival Re-Run,,
Gilles de Rais,32,https://vignette.wikia.nocookie.net/fategrandorder/images/0/03/Gilles2icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/eb/GillesFinalIcon.png/revision/latest?cb=20180216122827,Gilles,3,Caster,Man,B,A,A,A,Q,9506,6514,Story-locked,pieceCaster,4,,,,,pieceCaster,8,Lantern,5,,,,,monumentCaster,4,Baby,7,Page,4,monumentCaster,8,Page,7,Heart,4,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Baby,4,,,,,goldCaster,4,Baby,7,,,goldCaster,8,Lantern,4,,,,,Lantern,7,Dust,8,Dust,24,Heart,7,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Gilles de Rais [Saber],9,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c5/Gillesicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fb/GillesSaberFinalIcon.png/revision/latest?cb=20180212152551,Saber Gilles,3,Saber,Man,B,B,A,A,Q,10498,6615,Permanent,pieceSaber,4,,,,,pieceSaber,8,Proof,15,,,,,monumentSaber,4,Dust,13,Bone,10,monumentSaber,8,Bone,20,Heart,4,,,blueSaber,4,,,,,blueSaber,8,,,,,,,redSaber,4,,,,,redSaber,8,Dust,7,,,,,goldSaber,4,Dust,13,,,goldSaber,8,Proof,10,,,,,Proof,20,Lantern,4,Lantern,12,Heart,7,,,
Gorgon,147,https://vignette.wikia.nocookie.net/fategrandorder/images/0/09/Gorgonicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/95/GorgonFinalIcon.png/revision/latest?cb=20180219124004,Gorgon,4,Avenger,Earth,B,B,A,A,Q,10197,10706,Story-locked,Jewel,8,Bone,8,,,Stinger,8,Chain,8,,,,,Lanugo,8,Dust,8,,,Gallstone,8,Claw,8,,,,,Bone,8,,,,,Chain,8,,,,,,,Jewel,10,,,,,Stinger,10,,,,,,,Tearstone,10,,,,,Lanugo,12,,,,,,,Heart,12,,,Gallstone,12,,,Battle in New York 2019,,
Gray,243,https://vignette.wikia.nocookie.net/fategrandorder/images/5/51/S243Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6f/GrayFinalIcon.png/revision/latest?cb=20190427141659,Gray,4,Assassin,Man,B,A,Q,Q,Q,10580,9456,Welfare,Add,1,,,,,Add,1,,,,,,,Add,1,,,,,Add,1,,,,,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Bone,12,,,,,goldAssassin,4,Bone,24,,,goldAssassin,10,Lantern,4,,,,,Lantern,8,Dust,10,Dust,30,Scale,8,,,
Great Statue God,244,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e2/S244Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/50/JinakoCarigiriFinalIcon.png,Jinako,5,Moon Cancer,Sky,B,A,A,A,Q,17844,9166,Permanent,pieceLancer,5,pieceCaster,5,,,pieceLancer,12,pieceCaster,12,,,,,monumentLancer,5,monumentCaster,5,,,monumentLancer,12,monumentCaster,12,,,,,blueLancer,5,blueCaster,5,,,blueLancer,12,blueCaster,12,,,,,redLancer,5,redCaster,5,,,redLancer,12,redCaster,12,,,,,goldLancer,5,goldCaster,5,,,goldLancer,12,goldCaster,12,,,,,Ring,8,Bell,8,Scarab,9,Mirror,9,Yuga Kshetra Chapter Release,Valentine's 2020,Requiem Collab Pre-Campaign
Hans Christian Andersen,33,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8e/Hansicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ce/AndersenFinalIcon.png/revision/latest?cb=20180216122802,Hans,2,Caster,Man,B,A,A,A,Q,8484,5758,Permanent,pieceCaster,3,,,,,pieceCaster,6,Page,4,,,,,monumentCaster,3,Baby,5,Gear,3,monumentCaster,6,Gear,5,Horseshoe,6,,,blueCaster,3,,,,,blueCaster,6,,,,,,,redCaster,3,,,,,redCaster,6,Baby,3,,,,,goldCaster,3,Baby,5,,,goldCaster,6,Page,3,,,,,Page,5,Dust,6,Dust,18,Horseshoe,12,,,
Hassan of a Hundred Faces,110,https://vignette.wikia.nocookie.net/fategrandorder/images/5/58/Hassanhundredicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/04/HundredFaceHassanFinalIcon.png/revision/latest?cb=20180217095051,Hundred Face,3,Assassin,Man,B,A,A,Q,Q,9310,6686,Permanent,pieceAssassin,4,,,,,pieceAssassin,8,Dust,10,,,,,monumentAssassin,4,Crystal,7,Jewel,3,monumentAssassin,8,Jewel,6,Grease,5,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Crystal,4,,,,,goldAssassin,4,Crystal,7,,,goldAssassin,8,Dust,7,,,,,Dust,13,Bone,12,Bone,36,Claw,10,,,
Hassan of Serenity,124,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/Hassan_of_Serenity_icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/74/HassanOfSerenityFinalIcon.png/revision/latest?cb=20180217094015,Serenity,3,Assassin,Man,B,A,A,Q,Q,9310,6636,Permanent,pieceAssassin,4,,,,,pieceAssassin,8,Bone,15,,,,,monumentAssassin,4,Chain,20,Tearstone,2,monumentAssassin,8,Tearstone,4,Grease,5,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Chain,10,,,,,goldAssassin,4,Chain,20,,,goldAssassin,8,Bone,10,,,,,Bone,20,Dust,8,Dust,24,Lamp,10,,,
Hassan of the Cursed Arm,40,https://vignette.wikia.nocookie.net/fategrandorder/images/2/24/Hassanicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3c/CursedArmHassanFinalIcon.png/revision/latest?cb=20180212022232,Cursed Arm,2,Assassin,Man,B,A,Q,Q,Q,7594,6280,Permanent,pieceAssassin,3,,,,,pieceAssassin,6,Bone,11,,,,,monumentAssassin,3,Gear,5,Dust,5,monumentAssassin,6,Dust,10,Baby,6,,,blueAssassin,3,,,,,blueAssassin,6,,,,,,,redAssassin,3,,,,,redAssassin,6,Gear,3,,,,,goldAssassin,3,Gear,5,,,goldAssassin,6,Bone,8,,,,,Bone,15,Lantern,3,Lantern,9,Baby,12,,,
Hector,64,https://vignette.wikia.nocookie.net/fategrandorder/images/7/77/Hectoricon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fb/HectorFinalIcon.png/revision/latest?cb=20180214130220,Hector,3,Lancer,Man,B,B,A,Q,Q,10200,6928,Permanent,pieceLancer,4,,,,,pieceLancer,8,Horseshoe,5,,,,,monumentLancer,4,Proof,20,Seed,4,monumentLancer,8,Seed,8,Feather,7,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Proof,10,,,,,goldLancer,4,Proof,20,,,goldLancer,8,Horseshoe,4,,,,,Horseshoe,7,Crystal,4,Crystal,12,Feather,13,,,
Helena Blavatsky,100,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e4/Helenaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/34/HelenaFinalIcon.png/revision/latest?cb=20180216123040,Helena,4,Caster,Man,B,A,A,A,Q,11882,8629,Permanent,pieceCaster,4,,,,,pieceCaster,10,Dust,12,,,,,monumentCaster,4,Lantern,8,Baby,4,monumentCaster,10,Baby,8,Page,10,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Lantern,4,,,,,goldCaster,4,Lantern,8,,,goldCaster,10,Dust,8,,,,,Dust,16,Grease,3,Grease,9,Feather,16,FGO x Waltz Collab Pre-Campaign,,
